Concepto,Menciones
M6A,189
CELL,182
RNA,131
SMC,120
VASCULAR,99
MRNA,83
VSMCS,75
SMOOTH,74
METTL3,68
DISEASE,63
MODIFICATION,61
YTHDF2,60
AUTOPHAGY,57
M 6,57
DEVELOPMENT,55
PHENOTYPE,54
PROTEINS,53
SIGNALING,48
MICE,46
INDUCED,45
GENE,44
PATHWAY,43
PROLIFERATION,41
CELLULAR,41
DIFFERENTIATION,40
PHENOTYPIC,40
LIKE,39
GROWTH,38
SINGLE CELL,37
SEQUENCING,37
REGULATION,37
BINDING,37
ATHEROSCLEROTIC,35
STUDIES,35
FORMATION,33
ATHEROSCLEROSIS,32
METHYLATION,32
LINEAGE,32
AORTIC,31
AFTER,31
METHYLADENOSINE,30
PLAQUES,30
COMPLEX,30
CANCER,30
MOUSE,30
TARGET,29
WITHIN,29
VIVO,29
ACTIVATION,28
MECHANISMS,28
ABSTRACT,28
SITES,27
MODIFICATIONS,26
STABILITY,26
FUNCTIONS,26
CHROMATIN,26
INJURY,26
VITRO,26
MRNAS,26
HOW,26
SIGNIFICANTLY,25
MULTIPLE,25
FINDINGS,25
DISEASES,25
CHARACTERIZED,24
MODULATION,24
MEDIATED,24
OTHER,24
M6A MODIFICATION,23
TRANSCRIPTIONAL,23
SINGLE CELL RNA,23
THERAPEUTIC,23
DEGRADATION,23
SENESCENCE,23
PULMONARY,23
DEPENDENT,23
SMALL,23
KNOWN,23
NOVEL,23
MOST,23
UNDERSTANDING,22
CONTRACTILE,22
REGULATORY,22
IMPORTANT,22
REGULATED,22
SWITCHING,22
REVEALED,22
KNOCKOUT,22
METHODS,22
DERIVED,22
VASCULAR SMOOTH,21
INFLAMMATION,21
MACROPHAGES,21
CONCLUSIONS,21
REGULATING,21
REMODELING,21
CORONARY,21
PATHWAYS,21
MARKERS,21
CONTROL,21
